data_source,outcome_clean,transform_label,control_label,model,percent_effect,effect_pct,power,mean_att,mean_se,n_sims
NIBRS,agg_plus_sim_18,Raw,None,imputation,1.2,20,0,83.3535345629311,86.0277441293711,200
NIBRS,agg_plus_sim_18,Raw,None,cs,1.3,30,0,76.5702774899898,77.1324457563099,200
NIBRS,agg_plus_sim_18,Raw,None,imputation,1.3,30,0.005,111.731264605063,87.1991625736044,200
NIBRS,agg_plus_sim_18,Raw,None,cs,1.4,40,0.015,103.148852036227,79.6452488986853,200
NIBRS,agg_plus_sim_18,Raw,None,imputation,1.4,40,0.05,138.3098391513,89.0797543665812,200
NIBRS,agg_plus_sim_18,Raw,None,cs,1.5,50,0.04,130.721092295906,85.715439288054,200
NIBRS,agg_plus_sim_18,Raw,None,imputation,1.5,50,0.225,165.882079410979,91.8142295381323,200
NIBRS,agg_plus_sim_18,IHS,None,cs,0.5,-50,0,-14.3561311583321,71.8324133589033,200
NIBRS,agg_plus_sim_18,IHS,None,imputation,0.5,-50,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,None,cs,0.6,-40,0,-13.9414193453821,71.6967593725603,200
NIBRS,agg_plus_sim_18,IHS,None,imputation,0.6,-40,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,None,cs,0.7,-30,0,-14.4838459360871,71.1557690837794,200
NIBRS,agg_plus_sim_18,IHS,None,imputation,0.7,-30,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,None,cs,0.8,-20,0,-12.9619630827388,71.6304318506584,200
NIBRS,agg_plus_sim_18,IHS,None,imputation,0.8,-20,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,None,cs,0.9,-10,0,-13.440819553361,71.3048468939546,200
NIBRS,agg_plus_sim_18,IHS,None,imputation,0.9,-10,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,None,cs,1,0,0,-13.2916705666447,71.512262934091,200
NIBRS,agg_plus_sim_18,IHS,None,imputation,1,0,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,None,cs,1.1,10,0,-12.4104082468084,71.4174400382415,200
NIBRS,agg_plus_sim_18,IHS,None,imputation,1.1,10,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,None,cs,1.2,20,0,-14.4884883119888,71.5284166880565,200
NIBRS,agg_plus_sim_18,IHS,None,imputation,1.2,20,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,None,cs,1.3,30,0,-14.4527341026842,71.9615185804704,200
NIBRS,agg_plus_sim_18,IHS,None,imputation,1.3,30,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,None,cs,1.4,40,0,-13.1194219693205,71.5834507000051,200
NIBRS,agg_plus_sim_18,IHS,None,imputation,1.4,40,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,None,cs,1.5,50,0,-13.807311069192,71.643083545071,200
NIBRS,agg_plus_sim_18,IHS,None,imputation,1.5,50,,Inf,,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,cs,0.5,-50,1,-212.050391134615,61.2962436736102,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,imputation,0.5,-50,0.5,-194.183598352714,91.8685444795921,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,cs,0.6,-40,1,-168.260850670797,52.0477065427372,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,imputation,0.6,-40,0.5,-155.353000173608,92.9530148142329,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,cs,0.7,-30,1,-125.303977451738,43.0835619528681,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,imputation,0.7,-30,0,-116.891720092707,94.5789367955772,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,cs,0.8,-20,0.875,-83.1886827687584,35.4125804530307,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,imputation,0.8,-20,0,-78.7343599191327,96.5206069548975,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,cs,0.9,-10,0.17,-40.109829613916,30.3673374798408,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,imputation,0.9,-10,0,-40.0971812837496,99.0303298881295,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,cs,1,0,0.04,1.80539761607755,29.1524634370915,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,imputation,1,0,0,-2.17945285741322,101.823421514518,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,cs,1.1,10,0.49,46.302793623806,32.6385756545999,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,imputation,1.1,10,0,37.3920373750559,104.985236512012,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,cs,1.2,20,0.5,87.8188092862138,39.2034435186704,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,imputation,1.2,20,0,74.8667862036524,108.392186923207,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,cs,1.3,30,0.745,131.881543133162,47.4493986674349,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,imputation,1.3,30,0.37,112.872968261293,112.174466205211,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,cs,1.4,40,0.955,174.089093639592,56.8993784506489,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,imputation,1.4,40,0.5,151.516862225936,116.195818669455,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,cs,1.5,50,1,218.329591603415,66.5207709492274,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,imputation,1.5,50,0.5,190.186203174032,120.407590624975,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,cs,0.5,-50,0.03,3.27034662077395,38.3020042103972,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,imputation,0.5,-50,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,cs,0.6,-40,0.03,2.59126958677816,38.0189950778185,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,imputation,0.6,-40,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,cs,0.7,-30,0.03,2.94016532973196,37.9870121693611,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,imputation,0.7,-30,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,cs,0.8,-20,0.025,2.27080744220447,38.0294544245629,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,imputation,0.8,-20,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,cs,0.9,-10,0.035,2.40100666718093,38.0985084300174,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,imputation,0.9,-10,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,cs,1,0,0.03,0.225019696650964,38.430858582704,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,imputation,1,0,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,cs,1.1,10,0.015,1.66032251650815,38.0120353193338,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,imputation,1.1,10,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,cs,1.2,20,0.015,3.12700346052837,38.3064066418462,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,imputation,1.2,20,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,cs,1.3,30,0.04,2.69340053543647,37.7004053714907,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,imputation,1.3,30,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,cs,1.4,40,0.015,2.38170258382804,38.2214348419391,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,imputation,1.4,40,,Inf,,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,cs,1.5,50,0.04,3.38920184949243,37.8785441681028,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,imputation,1.5,50,,Inf,,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,cs,0.5,-50,1,-288.018996080687,40.3136953816159,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,0.5,-50,0.5,-161.487586593941,87.4649454303949,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,cs,0.6,-40,1,-234.218544328331,34.0484315700351,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,0.6,-40,0.5,-120.368339464013,88.7881997434987,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,cs,0.7,-30,1,-180.084227029719,27.6302544736418,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,0.7,-30,0,-78.9216110691564,90.6849973850263,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,cs,0.8,-20,1,-127.115271131988,23.0797461386132,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,0.8,-20,0,-38.0606212206828,93.0110181646123,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,cs,0.9,-10,0.895,-73.6860768638815,20.3263550612608,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,0.9,-10,0,3.53072102861671,95.715425256557,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,cs,1,0,0.295,-19.2703223627502,20.43449768329,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,1,0,0,43.6122210899867,98.8458614611524,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,cs,1.1,10,0.46,33.5393861904708,24.253903798907,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,1.1,10,0.33,84.6281860205313,102.193372942367,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,cs,1.2,20,0.665,88.3956911172383,31.3417921374275,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,1.2,20,0.5,126.21126930403,106.001026963532,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,cs,1.3,30,0.845,138.853006837177,38.2767590854162,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,1.3,30,0.5,165.878790132566,109.750006563816,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,cs,1.4,40,0.91,194.966373408147,46.8344770079027,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,1.4,40,0.5,207.998174002701,114.062100788785,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,cs,1.5,50,0.965,252.443982456065,55.6438617943842,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,1.5,50,0.5,249.691611271884,118.6880334115,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime+DV,cs,0.5,-50,0.61,-50.3080997106219,25.2990075547761,100
NIBRS,agg_plus_sim_18,IHS,Econ+Crime+DV,imputation,0.5,-50,,Inf,,100
NIBRS,agg_plus_sim_18,IHS,Econ+Crime+DV,cs,0.6,-40,0.53,-49.3558507848466,24.7664532356146,100
NIBRS,agg_plus_sim_18,IHS,Econ+Crime+DV,imputation,0.6,-40,,Inf,,100
NIBRS,agg_plus_sim_18,IHS,Econ+Crime+DV,cs,0.7,-30,0.51,-46.3312130564867,24.3751009099084,100
