data_source,outcome_clean,transform_label,control_label,model,mean_att,median_att,sd_att,mean_se,bias,rejection_rate,n_sims
NIBRS,sim_18,IHS,Econ+Crime,imputation,Inf,Inf,,,Inf,,200
NIBRS,sim_18,Raw,Econ+Crime+DV,cs,-17.2441912679212,-11.6139429505533,22.7362687419239,15.1465075266696,-17.2441912679212,0.275,200
NIBRS,sim_18,Raw,Econ+Crime+DV,imputation,33.1308158138417,32.4719167519487,80.2165496766601,85.0660176190514,33.1308158138417,0,200
NIBRS,sim_18,IHS,Econ+Crime+DV,cs,-17.7297388785081,-11.4869546230401,25.6444966232921,14.0817939436648,-17.7297388785081,0.345,200
NIBRS,sim_18,IHS,Econ+Crime+DV,imputation,Inf,Inf,,,Inf,,200
SHR,18,Raw,None,cs,0.062683043001328,0.0675782147375477,0.0706206172585446,0.111317031373545,0.062683043001328,0,200
SHR,18,Raw,None,imputation,-0.072637326893666,-0.0677421551574463,0.0706206172585446,0.13647417491071,-0.072637326893666,0,200
SHR,18,IHS,None,cs,0.0611471320162111,0.0617476480472613,0.0696951594571542,0.111316078176026,0.0611471320162111,0,200
SHR,18,IHS,None,imputation,-0.0741732378787829,-0.0735727218477327,0.0696951594571542,0.13602057398355,-0.0741732378787829,0,200
SHR,18,Raw,Econ+Crime,cs,0.0726274208954857,0.0707574569771508,0.0849384762924822,0.0928270776940511,0.0726274208954857,0.005,200
SHR,18,Raw,Econ+Crime,imputation,-0.0130405079241179,-0.0172339987921857,0.0988228080657305,0.0955688830634792,-0.0130405079241179,0,200
SHR,18,IHS,Econ+Crime,cs,0.0679587906499608,0.0782747892543772,0.0866872257374186,0.0933077855144864,0.0679587906499608,0.005,200
SHR,18,IHS,Econ+Crime,imputation,-0.0166075501476398,-0.00394984615393293,0.0998213193471379,0.0959403322289431,-0.0166075501476398,0,200
SHR,18,Raw,Econ+Crime+DV,cs,0.105120890708148,0.104165803962335,0.11974752654727,0.0907365437987751,0.105120890708148,0.095,200
SHR,18,Raw,Econ+Crime+DV,imputation,-0.105008928147114,-0.112908955496064,0.142798232019255,0.0974659903737135,-0.105008928147114,0.305,200
SHR,18,IHS,Econ+Crime+DV,cs,0.108824001550199,0.133438389219059,0.113514132740821,0.0903126036320915,0.108824001550199,0.075,200
SHR,18,IHS,Econ+Crime+DV,imputation,-0.102811140707713,-0.0819104738193924,0.140389348067914,0.0972188301382805,-0.102811140707713,0.305,200
SHR,1849,Raw,None,cs,0.0148798421548818,0.0174260819676636,0.0554814561243676,0.165382864450485,0.0148798421548818,0,200
SHR,1849,Raw,None,imputation,-0.0715062223703441,-0.0689599825575623,0.0554814561243676,0.180467084675848,-0.0715062223703441,0,200
SHR,1849,IHS,None,cs,0.0200665978488487,0.0251380128601371,0.0531674664777127,0.165708136877966,0.0200665978488487,0,200
SHR,1849,IHS,None,imputation,-0.0663194666763772,-0.0612480516650888,0.0531674664777127,0.180653981150158,-0.0663194666763772,0,200
SHR,1849,Raw,Econ+Crime,cs,0.0697074932080501,0.0797810592609757,0.080055755339941,0.135204663335465,0.0697074932080501,0,200
SHR,1849,Raw,Econ+Crime,imputation,0.0754671743065418,0.0612664556969721,0.111571998440694,0.128482233870607,0.0754671743065418,0.185,200
SHR,1849,IHS,Econ+Crime,cs,0.0702566370838067,0.0767334048082997,0.0709839619455133,0.135358603232749,0.0702566370838067,0,200
SHR,1849,IHS,Econ+Crime,imputation,0.0766038782490251,0.0809295709910611,0.101309540550984,0.128250655250508,0.0766038782490251,0.155,200
SHR,1849,Raw,Econ+Crime+DV,cs,0.103385123024835,0.123768788452118,0.131480908586593,0.126562553061993,0.103385123024835,0.01,200
